"source_service_name","service_domain","service_group","service_name","is_clinical","is_malaria_related","include_in_analysis","needs_review"
"Functional biochemistry analyzer","Support Services","Equipment and Infrastructure","Functional biochemistry analyzer",FALSE,FALSE,FALSE,FALSE
"Functional diagnostic centrifuge","Support Services","Equipment and Infrastructure","Functional diagnostic centrifuge",FALSE,FALSE,FALSE,FALSE
"Functional haematology analyzer","Support Services","Equipment and Infrastructure","Functional haematology analyzer",FALSE,FALSE,FALSE,FALSE
"General OPD","Clinical Services","General Clinical Services","General OPD",TRUE,FALSE,TRUE,FALSE
"Gentamycin 10mg","Support Services","Commodities and Supplies","Gentamycin 10mg",FALSE,FALSE,FALSE,FALSE
"Gentamycin injectable 20mg","Support Services","Commodities and Supplies","Gentamycin injectable 20mg",FALSE,FALSE,FALSE,FALSE
"Gentamycin injectable 40mg","Support Services","Commodities and Supplies","Gentamycin injectable 40mg",FALSE,FALSE,FALSE,FALSE
"Glass slides and cover slips","Support Services","Equipment and Infrastructure","Glass slides and cover slips",FALSE,FALSE,FALSE,FALSE
"Glucometer","Support Services","Equipment and Infrastructure","Glucometer",FALSE,FALSE,FALSE,FALSE
"Glucometer test strips","Support Services","Equipment and Infrastructure","Glucometer test strips",FALSE,FALSE,FALSE,FALSE
"Growth monitoring","Community & Preventive Health","Community & Preventive Health","Growth monitoring",TRUE,FALSE,TRUE,FALSE
"Guidleines for Management of Obstetric Complications","Support Services","Guidelines and Job Aids","Guidleines for Management of Obstetric Complications",FALSE,FALSE,FALSE,FALSE
"Guidleines for blood transfusion","Support Services","Guidelines and Job Aids","Guidleines for blood transfusion",FALSE,FALSE,FALSE,FALSE
"HIV Counselling for Pregnant women","Reproductive & Maternal Health","Reproductive & Maternal Health Services","HIV Counselling for Pregnant women",TRUE,FALSE,TRUE,FALSE
"HIV Testing","HIV/AIDS Services","HIV/AIDS Services","HIV Testing",TRUE,FALSE,TRUE,FALSE
"HIV and AIDS Treatment","HIV/AIDS Services","HIV/AIDS Services","HIV and AIDS Treatment",TRUE,FALSE,TRUE,FALSE
