"source_service_name","service_domain","service_group","service_name","is_clinical","is_malaria_related","include_in_analysis","needs_review"
"Successiful Deliveries","Support Services","Support Services","Successiful Deliveries",FALSE,FALSE,FALSE,FALSE
"Sucntion bulb single use","Support Services","Equipment and Infrastructure","Sucntion bulb single use",FALSE,FALSE,FALSE,FALSE
"Suction Pump and catheter","Support Services","Equipment and Infrastructure","Suction Pump and catheter",FALSE,FALSE,FALSE,FALSE
"Sunction bulb multiuse","Support Services","Equipment and Infrastructure","Sunction bulb multiuse",FALSE,FALSE,FALSE,FALSE
"Surgical Blades","Support Services","Equipment and Infrastructure","Surgical Blades",FALSE,FALSE,FALSE,FALSE
"Surgical Major","Clinical Services","General Clinical Services","Surgical Major",TRUE,FALSE,TRUE,FALSE
"Surgical Minor","Clinical Services","General Clinical Services","Surgical Minor",TRUE,FALSE,TRUE,FALSE
"Surgical Orthopedic","Clinical Services","General Clinical Services","Surgical Orthopedic",TRUE,FALSE,TRUE,FALSE
"Surgical Scissors","Support Services","Equipment and Infrastructure","Surgical Scissors",FALSE,FALSE,FALSE,FALSE
" Surgical services provided","Clinical Services","General Clinical Services","Surgical services provided",TRUE,FALSE,TRUE,FALSE
"Syphilis serology testing","Diagnostic Services","Diagnostic Services","Syphilis serology testing",TRUE,FALSE,TRUE,FALSE
"Syphillis rpid test","Diagnostic Services","Diagnostic Services","Syphillis rpid test",TRUE,FALSE,TRUE,FALSE
"Syphillis serology","Diagnostic Services","Diagnostic Services","Syphillis serology",TRUE,FALSE,TRUE,FALSE
"TB Diagnosis using clinical symptomsservices","Clinical Services","General Clinical Services","TB Diagnosis using clinical symptomsservices",TRUE,FALSE,TRUE,FALSE
"TB Diagnosis/Testing","Clinical Services","General Clinical Services","TB Diagnosis/Testing",TRUE,FALSE,TRUE,FALSE
"TB Guideliness","Support Services","Guidelines and Job Aids","TB Guideliness",FALSE,FALSE,FALSE,FALSE
"TB Patient follow up","Clinical Services","General Clinical Services","TB Patient follow up",TRUE,FALSE,TRUE,FALSE
"TB Screening","Clinical Services","General Clinical Services","TB Screening",TRUE,FALSE,TRUE,FALSE
"TB Treatment","Clinical Services","General Clinical Services","TB Treatment",TRUE,FALSE,TRUE,FALSE
"TB infection control guidelines","Support Services","Guidelines and Job Aids","TB infection control guidelines",FALSE,FALSE,FALSE,FALSE
"Tetanus Toxoid","Support Services","Commodities and Supplies","Tetanus Toxoid",FALSE,FALSE,FALSE,FALSE
"Theatre Major","Clinical Services","General Clinical Services","Theatre Major",TRUE,FALSE,TRUE,FALSE
"Theatre Minor","Clinical Services","General Clinical Services","Theatre Minor",TRUE,FALSE,TRUE,FALSE
"Tourniquet","Support Services","Equipment and Infrastructure","Tourniquet",FALSE,FALSE,FALSE,FALSE
"Treatment for Opportunistic infections","HIV/AIDS Services","HIV/AIDS Services","Treatment for Opportunistic infections",TRUE,FALSE,TRUE,FALSE
"Treatment of Complicated Malaria","Malaria Services","Malaria Diagnosis and Treatment","Treatment of Complicated Malaria",TRUE,TRUE,TRUE,FALSE
"Treatment of severe diarrhoea (IV Fluids)","Clinical Services","General Clinical Services","Treatment of severe diarrhoea (IV Fluids)",TRUE,FALSE,TRUE,FALSE
"Treatment of severe pneumonia(Oxygen)","Clinical Services","General Clinical Services","Treatment of severe pneumonia(Oxygen)",TRUE,FALSE,TRUE,FALSE
"Ulipristal Acetate","Support Services","Commodities and Supplies","Ulipristal Acetate",FALSE,FALSE,FALSE,FALSE
"Ultrasound","Diagnostic Services","Diagnostic Services","Ultrasound",TRUE,FALSE,TRUE,FALSE
"Under 5","Community & Preventive Health","Growth Monitoring & Nutrition","Under 5",TRUE,FALSE,TRUE,FALSE
"Urine glucose test","Diagnostic Services","Diagnostic Services","Urine glucose test",TRUE,FALSE,TRUE,FALSE
"Urine keton test","Diagnostic Services","Diagnostic Services","Urine keton test",TRUE,FALSE,TRUE,FALSE
"Urine microscopy","Diagnostic Services","Diagnostic Services","Urine microscopy",TRUE,FALSE,TRUE,FALSE
"Urine protein dip stick test","Diagnostic Services","Diagnostic Services","Urine protein dip stick test",TRUE,FALSE,TRUE,FALSE
"Urine protein test","Diagnostic Services","Diagnostic Services","Urine protein test",TRUE,FALSE,TRUE,FALSE
