source_category,source_service_name,service_domain,service_group,service_name,is_clinical,is_malaria_related,include_in_analysis,needs_review
THEATRE SERVICES,Minor Theatre Services,Clinical Services,Surgical Services,Minor Theatre Services,TRUE,FALSE,TRUE,FALSE
TUBERCULOSIS DIAGNOSIS,Fine Needle Aspiration,Clinical Services,TB Services,Fine Needle Aspiration,TRUE,FALSE,TRUE,FALSE
TUBERCULOSIS DIAGNOSIS,Gene expert,Clinical Services,TB Services,Gene expert,TRUE,FALSE,TRUE,FALSE
TUBERCULOSIS DIAGNOSIS,GeneXpert,Clinical Services,TB Services,GeneXpert,TRUE,FALSE,TRUE,FALSE
TUBERCULOSIS DIAGNOSIS,Smear Microscopy,Clinical Services,TB Services,Smear Microscopy,TRUE,FALSE,TRUE,FALSE
TUBERCULOSIS DIAGNOSIS,Smear microscopy \u0026 X ray,Clinical Services,TB Services,Smear microscopy \u0026 X ray,TRUE,FALSE,TRUE,FALSE
TUBERCULOSIS DIAGNOSIS,Tuberculosis Culture,Clinical Services,TB Services,Tuberculosis Culture,TRUE,FALSE,TRUE,FALSE
TUBERCULOSIS DIAGNOSIS,X-Ray,Clinical Services,TB Services,X-Ray,TRUE,FALSE,TRUE,FALSE
TUBERCULOSIS DIAGNOSIS,Xray,Clinical Services,TB Services,Xray,TRUE,FALSE,TRUE,FALSE
TUBERCULOSIS TREATMENTS,Multi-Drug Resistant Tuberculosis Treatment,Clinical Services,TB Services,Multi-Drug Resistant Tuberculosis Treatment,TRUE,FALSE,TRUE,FALSE
TUBERCULOSIS TREATMENTS,TB treatment,Clinical Services,TB Services,TB treatment,TRUE,FALSE,TRUE,FALSE
TUBERCULOSIS TREATMENTS,Tuberculosis Treatment,Clinical Services,TB Services,Tuberculosis Treatment,TRUE,FALSE,TRUE,FALSE
TUBERCULOSIS TREATMENTS,Tuberculosis treatment,Clinical Services,TB Services,Tuberculosis treatment,TRUE,FALSE,TRUE,FALSE
YOUTH FRIENDLY SERVICES,Basic YFS-service to the youth offered alongside other services,Community & Preventive Health,Health Promotion and Disease Prevention,Basic YFS-service to the youth offered alongside other services,TRUE,FALSE,TRUE,FALSE
YOUTH FRIENDLY SERVICES,Comprehensive YFS-separate Building (youth centre) with Recreation Facilities,Community & Preventive Health,Health Promotion and Disease Prevention,Comprehensive YFS-separate Building (youth centre) with Recreation Facilities,TRUE,FALSE,TRUE,FALSE
YOUTH FRIENDLY SERVICES,Youth - Friendly Services,Community & Preventive Health,Health Promotion and Disease Prevention,Youth - Friendly Services,TRUE,FALSE,TRUE,FALSE
