country,facility_code,uid,created_date
TZA,109980-3,TZA-000139,2026-05-15
TZA,122073-0,TZA-000140,2026-05-15
TZA,121972-4,TZA-000141,2026-05-15
TZA,112317-3,TZA-000142,2026-05-15
TZA,121641-5,TZA-000143,2026-05-15
TZA,114212-4,TZA-000144,2026-05-15
TZA,124144-7,TZA-000145,2026-05-15
TZA,101053-7,TZA-000146,2026-05-15
TZA,121317-2,TZA-000147,2026-05-15
TZA,123664-5,TZA-000148,2026-05-15
TZA,120915-4,TZA-000149,2026-05-15
TZA,122343-7,TZA-000150,2026-05-15
TZA,114422-9,TZA-000151,2026-05-15
TZA,109439-0,TZA-000152,2026-05-15
TZA,114498-9,TZA-000153,2026-05-15
TZA,122173-8,TZA-000154,2026-05-15
TZA,124027-4,TZA-000155,2026-05-15
TZA,112377-7,TZA-000156,2026-05-15
TZA,111982-5,TZA-000157,2026-05-15
TZA,107272-7,TZA-000158,2026-05-15
TZA,122160-5,TZA-000159,2026-05-15
TZA,121378-4,TZA-000160,2026-05-15
TZA,121964-1,TZA-000161,2026-05-15
TZA,120339-7,TZA-000162,2026-05-15
TZA,123224-8,TZA-000163,2026-05-15
TZA,122110-0,TZA-000164,2026-05-15
TZA,111993-2,TZA-000165,2026-05-15
TZA,105272-9,TZA-000166,2026-05-15
TZA,121950-0,TZA-000167,2026-05-15
TZA,110823-2,TZA-000168,2026-05-15
TZA,122155-5,TZA-000169,2026-05-15
TZA,121379-2,TZA-000170,2026-05-15
TZA,113630-8,TZA-000171,2026-05-15
TZA,113543-3,TZA-000172,2026-05-15
TZA,120877-6,TZA-000173,2026-05-15
TZA,122847-7,TZA-000174,2026-05-15
TZA,112378-5,TZA-000175,2026-05-15
TZA,120305-8,TZA-000176,2026-05-15
TZA,107581-1,TZA-000177,2026-05-15
TZA,120261-3,TZA-000178,2026-05-15
TZA,110723-4,TZA-000179,2026-05-15
TZA,121235-6,TZA-000180,2026-05-15
TZA,120757-0,TZA-000181,2026-05-15
TZA,101121-2,TZA-000182,2026-05-15
TZA,121377-6,TZA-000183,2026-05-15
TZA,121011-1,TZA-000184,2026-05-15
TZA,111963-5,TZA-000185,2026-05-15
TZA,103705-0,TZA-000186,2026-05-15
TZA,121092-1,TZA-000187,2026-05-15
TZA,113547-4,TZA-000188,2026-05-15
TZA,120895-8,TZA-000189,2026-05-15
TZA,113625-8,TZA-000190,2026-05-15
TZA,110921-4,TZA-000191,2026-05-15
TZA,100190-8,TZA-000192,2026-05-15
TZA,113548-2,TZA-000193,2026-05-15
TZA,113544-1,TZA-000194,2026-05-15
TZA,105316-4,TZA-000195,2026-05-15
TZA,112832-1,TZA-000196,2026-05-15
TZA,122176-1,TZA-000197,2026-05-15
TZA,112000-5,TZA-000198,2026-05-15
TZA,123714-8,TZA-000199,2026-05-15
TZA,107442-6,TZA-000200,2026-05-15
TZA,111486-7,TZA-000201,2026-05-15
TZA,123008-5,TZA-000202,2026-05-15
TZA,122784-2,TZA-000203,2026-05-15
TZA,120896-6,TZA-000204,2026-05-15
TZA,113626-6,TZA-000205,2026-05-15
TZA,122451-8,TZA-000206,2026-05-15
TZA,107637-1,TZA-000207,2026-05-15
TZA,112930-3,TZA-000208,2026-05-15
TZA,111782-9,TZA-000209,2026-05-15
TZA,113631-6,TZA-000210,2026-05-15
TZA,100309-4,TZA-000211,2026-05-15
TZA,109595-9,TZA-000212,2026-05-15
TZA,113656-3,TZA-000213,2026-05-15
TZA,102913-1,TZA-000214,2026-05-15
TZA,121779-3,TZA-000215,2026-05-15
TZA,113654-8,TZA-000216,2026-05-15
TZA,111143-4,TZA-000217,2026-05-15
TZA,111967-6,TZA-000218,2026-05-15
TZA,124255-1,TZA-000219,2026-05-15
TZA,121490-7,TZA-000220,2026-05-15
TZA,109788-0,TZA-000221,2026-05-15
TZA,101745-8,TZA-000222,2026-05-15
TZA,109545-4,TZA-000223,2026-05-15
TZA,106388-2,TZA-000224,2026-05-15
TZA,109536-3,TZA-000225,2026-05-15
TZA,100916-6,TZA-000226,2026-05-15
TZA,123170-3,TZA-000227,2026-05-15
TZA,106418-7,TZA-000228,2026-05-15
TZA,106900-4,TZA-000229,2026-05-15
TZA,105727-2,TZA-000230,2026-05-15
TZA,121897-3,TZA-000231,2026-05-15
TZA,106913-7,TZA-000232,2026-05-15
TZA,104673-9,TZA-000233,2026-05-15
TZA,103468-5,TZA-000234,2026-05-15
TZA,106904-6,TZA-000235,2026-05-15
TZA,120304-1,TZA-000236,2026-05-15
TZA,109693-2,TZA-000237,2026-05-15
TZA,111144-2,TZA-000238,2026-05-15
TZA,109813-6,TZA-000239,2026-05-15
TZA,123975-5,TZA-000240,2026-05-15
TZA,124385-6,TZA-000241,2026-05-15
TZA,123273-5,TZA-000242,2026-05-15
TZA,122194-4,TZA-000243,2026-05-15
TZA,106914-5,TZA-000244,2026-05-15
TZA,106906-1,TZA-000245,2026-05-15
TZA,107338-6,TZA-000246,2026-05-15
TZA,105691-0,TZA-000247,2026-05-15
TZA,113657-1,TZA-000248,2026-05-15
TZA,120876-8,TZA-000249,2026-05-15
TZA,121619-1,TZA-000250,2026-05-15
TZA,103487-5,TZA-000251,2026-05-15
TZA,109462-2,TZA-000252,2026-05-15
TZA,121896-5,TZA-000253,2026-05-15
TZA,122197-7,TZA-000254,2026-05-15
TZA,103805-8,TZA-000255,2026-05-15
TZA,110712-7,TZA-000256,2026-05-15
TZA,103131-9,TZA-000257,2026-05-15
TZA,121675-3,TZA-000258,2026-05-15
TZA,120444-5,TZA-000259,2026-05-15
TZA,124254-4,TZA-000260,2026-05-15
TZA,106922-8,TZA-000261,2026-05-15
TZA,105273-7,TZA-000262,2026-05-15
TZA,101800-1,TZA-000263,2026-05-15
TZA,120349-6,TZA-000264,2026-05-15
TZA,104283-7,TZA-000265,2026-05-15
TZA,124259-3,TZA-000266,2026-05-15
TZA,121722-3,TZA-000267,2026-05-15
TZA,103512-0,TZA-000268,2026-05-15
TZA,102981-8,TZA-000269,2026-05-15
TZA,124257-7,TZA-000270,2026-05-15
TZA,122202-5,TZA-000271,2026-05-15
TZA,113650-6,TZA-000272,2026-05-15
TZA,123009-3,TZA-000273,2026-05-15
TZA,111880-1,TZA-000274,2026-05-15
